RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,sidewalk_right,score_left,score_right,score,the_score,the_length,w_score
40490,12875,HARRIS RD SE,Local Access,2,848,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,848,0
40490,14284,HARRIS RD SE,Local Access,2,299,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,299,0
40490,19467,HARRIS RD SE,Local Access,2,268,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,268,0
41570,1085,SE LINCOLN AVE,Major Collector,2,152,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,152,0
41570,4587,SE LINCOLN AVE,Major Collector,2,230,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,230,0
40510,7591,RHAPSODY DR SE,Local Access,2,713,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,713,0
40492,14282,CHIVE PL SE,Local Access,2,117,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,117,0
40490,15773,HARRIS RD SE,Local Access,2,153,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,153,0
40490,8444,HARRIS RD SE,Local Access,2,231,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,231,0
40490,5759,HARRIS RD SE,Local Access,2,313,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,313,0
40700,1083,SE LUND AVE,Minor Arterial,2,232,Urban,232,15,East Port Orchard Elementary,2,East Port Orchard Elementary,70,NA,8,8,6,NA,NA,2,2,4,4,70,280
40700,1083,SE LUND AVE,Minor Arterial,2,232,Urban,232,15,East Port Orchard Elementary,2,East Port Orchard Elementary,51,NA,8,8,6,NA,NA,2,2,4,4,51,204
40700,3140,SE LUND AVE,Minor Arterial,2,349,Urban,349,15,East Port Orchard Elementary,2,East Port Orchard Elementary,49,NA,8,8,6,NA,NA,2,2,4,4,49,196
40700,3140,SE LUND AVE,Minor Arterial,2,349,Urban,349,15,East Port Orchard Elementary,2,East Port Orchard Elementary,106,NA,8,8,6,NA,NA,2,2,4,4,106,424
100,5946,SK MALL ACCESS RD,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
40550,7261,CHASE RD SE,Local Access,2,504,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,504,0
40490,4750,HARRIS RD SE,Local Access,2,339,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,339,0
40490,13322,HARRIS RD SE,Local Access,2,200,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,200,0
100,14110,MITCHELL AVE,Major Collector,2,9,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,0
100,11841,MELCHER ST,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
100,16620,MITCHELL AVE,Major Collector,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
40490,1348,HARRIS RD SE,Local Access,2,204,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,204,0
